지점,시간,평균기온(°C),평균풍속(m/s),평균운량,일조시간합,전천일사합,위도,경도
속초(90),1,-1.4,2.0,,214.7,,38.2509,128.5647
속초(90),2,-0.5,2.1,,218.5,,38.2509,128.5647
속초(90),3,8.0,2.2,,171.2,,38.2509,128.5647
속초(90),4,13.0,2.3,,227.6,,38.2509,128.5647
속초(90),5,15.9,2.0,,186.4,,38.2509,128.5647
속초(90),6,21.3,1.7,,208.8,,38.2509,128.5647
속초(90),7,25.0,1.6,,209.3,,38.2509,128.5647
속초(90),8,25.6,1.6,6.0,185.3,,38.2509,128.5647
속초(90),9,20.0,1.5,5.5,196.1,,38.2509,128.5647
속초(90),10,13.5,1.8,3.6,229.5,,38.2509,128.5647
속초(90),11,9.2,1.6,4.1,165.7,,38.2509,128.5647
속초(90),12,1.6,1.8,3.4,208.0,,38.2509,128.5647
북춘천(93),1,-6.0,1.3,3.9,203.0,297.61,37.9475,127.7547
북춘천(93),2,-3.4,1.5,3.6,214.2,345.45,37.9475,127.7547
북춘천(93),3,7.0,1.8,4.6,204.3,434.45,37.9475,127.7547
북춘천(93),4,12.0,1.9,4.9,218.7,505.89,37.9475,127.7547
북춘천(93),5,17.2,1.7,5.4,233.2,577.58,37.9475,127.7547
북춘천(93),6,22.6,1.5,5.6,252.8,628.31,37.9475,127.7547
북춘천(93),7,26.3,1.3,5.0,243.9,520.07,37.9475,127.7547
북춘천(93),8,26.9,1.3,6.1,223.0,464.48,37.9475,127.7547
북춘천(93),9,19.1,1.1,5.4,205.5,397.14,37.9475,127.7547
북춘천(93),10,10.3,1.1,4.5,200.3,314.48,37.9475,127.7547
북춘천(93),11,5.1,0.7,5.1,148.2,206.42,37.9475,127.7547
북춘천(93),12,-3.2,1.0,3.9,194.9,216.07,37.9475,127.7547
철원(95),1,-7.3,1.1,,185.7,,38.1479,127.3042
철원(95),2,-4.4,1.5,,206.4,,38.1479,127.3042
철원(95),3,6.2,2.1,,202.7,,38.1479,127.3042
철원(95),4,11.2,2.5,,203.6,,38.1479,127.3042
철원(95),5,16.8,2.2,,231.4,,38.1479,127.3042
철원(95),6,21.7,1.8,,232.2,,38.1479,127.3042
철원(95),7,25.4,2.0,,234.6,,38.1479,127.3042
철원(95),8,26.3,1.9,6.0,235.2,,38.1479,127.3042
철원(95),9,18.8,1.5,4.9,206.9,,38.1479,127.3042
철원(95),10,9.9,1.3,3.9,217.6,,38.1479,127.3042
철원(95),11,4.5,1.0,4.1,159.0,,38.1479,127.3042
철원(95),12,-4.0,1.0,4.0,190.8,,38.1479,127.3042
동두천(98),1,-5.4,1.7,,198.0,,37.9019,127.0607
동두천(98),2,-2.6,1.9,,215.0,,37.9019,127.0607
동두천(98),3,7.4,1.9,,209.0,,37.9019,127.0607
동두천(98),4,12.4,2.1,,215.9,,37.9019,127.0607
동두천(98),5,17.4,1.8,,242.6,,37.9019,127.0607
동두천(98),6,22.1,1.5,,237.0,,37.9019,127.0607
동두천(98),7,26.3,1.4,,240.5,,37.9019,127.0607
동두천(98),8,27.2,1.5,5.8,226.3,,37.9019,127.0607
동두천(98),9,19.8,1.3,4.8,210.0,,37.9019,127.0607
동두천(98),10,11.4,1.4,3.8,230.7,,37.9019,127.0607
동두천(98),11,6.4,1.2,4.2,166.6,,37.9019,127.0607
동두천(98),12,-2.0,1.5,3.7,198.7,,37.9019,127.0607
파주(99),1,-6.8,1.4,,200.4,,37.8859,126.7665
파주(99),2,-4.2,1.7,,216.3,,37.8859,126.7665
파주(99),3,5.8,2.0,,207.8,,37.8859,126.7665
파주(99),4,10.6,2.2,,220.8,,37.8859,126.7665
파주(99),5,16.0,1.8,,236.0,,37.8859,126.7665
파주(99),6,20.8,1.5,,230.2,,37.8859,126.7665
파주(99),7,25.5,1.4,,245.2,,37.8859,126.7665
파주(99),8,26.5,1.4,5.6,230.2,,37.8859,126.7665
파주(99),9,19.2,1.3,4.6,220.6,,37.8859,126.7665
파주(99),10,10.3,1.2,3.9,220.4,,37.8859,126.7665
파주(99),11,5.0,1.0,4.1,165.2,,37.8859,126.7665
파주(99),12,-3.2,1.2,3.7,199.7,,37.8859,126.7665
대관령(100),1,-8.5,4.7,,238.3,304.65,37.6771,128.7183
대관령(100),2,-6.5,4.8,,233.3,350.85,37.6771,128.7183
대관령(100),3,2.3,4.3,,231.0,445.11,37.6771,128.7183
대관령(100),4,8.1,4.3,,268.4,550.5,37.6771,128.7183
대관령(100),5,12.5,3.8,,265.0,565.92,37.6771,128.7183
대관령(100),6,17.1,2.7,,267.3,602.53,37.6771,128.7183
대관령(100),7,21.4,2.9,,239.5,556.56,37.6771,128.7183
대관령(100),8,21.1,2.6,6.7,183.0,478.48,37.6771,128.7183
대관령(100),9,14.2,2.4,6.2,132.1,358.66,37.6771,128.7183
대관령(100),10,6.9,3.3,4.1,225.6,344.73,37.6771,128.7183
대관령(100),11,2.7,2.8,4.2,170.1,227.38,37.6771,128.7183
대관령(100),12,-5.0,3.7,4.0,207.4,227.76,37.6771,128.7183
춘천(101),1,-5.5,1.3,,186.7,274.35,37.9026,127.7357
춘천(101),2,-3.0,1.5,,201.9,323.46,37.9026,127.7357
춘천(101),3,7.3,1.9,,203.2,418.73,37.9026,127.7357
춘천(101),4,12.4,1.9,,217.7,498.66,37.9026,127.7357
춘천(101),5,17.7,1.7,,231.5,566.15,37.9026,127.7357
춘천(101),6,23.1,1.7,,252.0,622.37,37.9026,127.7357
춘천(101),7,26.7,1.5,,245.0,598.56,37.9026,127.7357
춘천(101),8,27.3,1.6,,232.7,545.21,37.9026,127.7357
춘천(101),9,19.6,1.5,,207.8,449.98,37.9026,127.7357
춘천(101),10,10.9,1.2,,188.7,325.79,37.9026,127.7357
춘천(101),11,5.6,1.0,,134.3,209.29,37.9026,127.7357
춘천(101),12,-2.8,1.1,,178.8,223.95,37.9026,127.7357
백령도(102),1,-2.9,3.8,7.3,102.5,,37.974000000000004,124.7124
백령도(102),2,-1.8,4.1,5.6,158.8,,37.974000000000004,124.7124
백령도(102),3,4.1,4.2,5.9,192.0,,37.974000000000004,124.7124
백령도(102),4,9.3,5.1,5.1,207.6,,37.974000000000004,124.7124
백령도(102),5,13.2,4.1,5.8,211.0,621.3,37.974000000000004,124.7124
백령도(102),6,18.3,2.8,6.9,178.5,626.45,37.974000000000004,124.7124
백령도(102),7,23.0,3.1,6.9,189.0,618.28,37.974000000000004,124.7124
백령도(102),8,24.9,2.9,5.2,271.4,660.12,37.974000000000004,124.7124
백령도(102),9,19.8,3.2,4.8,213.8,526.42,37.974000000000004,124.7124
백령도(102),10,13.9,4.0,4.3,247.2,469.54,37.974000000000004,124.7124
백령도(102),11,9.2,3.6,4.5,133.7,282.97,37.974000000000004,124.7124
백령도(102),12,1.1,5.9,6.3,113.5,221.58,37.974000000000004,124.7124
북강릉(104),1,-0.8,2.1,3.1,218.5,303.7,37.8046,128.8554
북강릉(104),2,0.1,2.2,3.1,217.7,358.05,37.8046,128.8554
